PicoP2400,,,
pin,name,type,side
1,GND,pwr,bottom
7,USR1-GPS/1PPS,in,left
8,USR2-Alarm,out,right
9,USR3,out,right
10,I/O1,bi,left
11,I/O2,bi,left
12,I/O3,bi,left
13,I/O4,bi,left
14,USR-ANO0,out,right
15,USR-AN0,in,left
16,USR-AN1,in,left
17,GND,pwr,bottom
18,USBDP,bi,left
19,USBDM,bi,left
20,LED_RSSI1,out,right
21,LED_RSSI2,out,right
22,LED_RSSI3,out,right
23,LED_RX,out,right
24,LED_TX,out,right
25,GND,pwr,bottom
26,GND,pwr,bottom
27,RING,out,left
28,RxD,in,left
29,TxD,out,left
30,DSR,out,left
31,CTS,out,left
32,DTR,in,left
33,DCD,out,left
34,RTS,in,left
35,USR-SCK,in,right
37,Control-RxD,in,left
38,Control-TxD,out,left
39,GND,pwr,bottom
40,GND,pwr,bottom
41,GND,pwr,bottom
42,Vbat,in,left
44,RSMode,out,right
45,RESET,in,left
46,CONFIG,in,left
47,USR-WakeUp,in,left
50,CANTx,out,left
51,CANRx,in,left
62,VDD,pwr,top
63,VCC,pwr,top
64,VCC,pwr,top
65,GND,pwr,bottom
66,GND,pwr,bottom
67,GND,pwr,bottom
75,GND,pwr,bottom
76,GND,pwr,bottom
77,GND,pwr,bottom
78,GND,pwr,bottom
79,GND,pwr,bottom
80,GND,pwr,bottom
