STM32F405RGT,,,
Pin,Name,Type,Side
60,BOOT0,in,left
7,NRST,bi,left
14,PA0,bi,left
15,PA1,bi,left
43,PA10,bi,left
44,PA11,bi,left
45,PA12,bi,left
46,PA13,bi,left
49,PA14,bi,left
50,PA15,bi,left
16,PA2,bi,left
17,PA3,bi,left
20,PA4,bi,left
21,PA5,bi,left
22,PA6,bi,left
23,PA7,bi,left
41,PA8,bi,left
42,PA9,bi,left
26,PB0,bi,right
27,PB1,bi,right
29,PB10,bi,right
30,PB11,bi,right
33,PB12,bi,right
34,PB13,bi,right
35,PB14,bi,right
36,PB15,bi,right
28,PB2-BOOT1,bi,right
55,PB3,bi,right
56,PB4,bi,right
57,PB5,bi,right
58,PB6,bi,right
59,PB7,bi,right
61,PB8,bi,right
62,PB9,bi,right
8,PC0,bi,right
9,PC1,bi,right
51,PC10,bi,right
52,PC11,bi,right
53,PC12,bi,right
2,PC13,bi,right
3,PC14,bi,right
4,PC15,bi,right
10,PC2,bi,right
11,PC3,bi,right
24,PC4,bi,right
25,PC5,bi,right
37,PC6,bi,right
38,PC7,bi,right
39,PC8,bi,right
40,PC9,bi,right
54,PD2,bi,right
5,PH0,bi,right
6,PH1,bi,right
1,VBAT,pwr,left
31,VCAP_1,pwr,left
47,VCAP_2,pwr,left
19,VDD,pwr,top
32,VDD,pwr,top
48,VDD,pwr,top
64,VDD,pwr,top
13,VDDA,pwr,top
18,VSS,pwr,bottom
63,VSS,pwr,bottom
12,VSSA,pwr,bottom
