STM32NucleoL476RG,,,
PIN,NAME,TYPE,SIDE
CN7-12,+3.3V,pwr,top
CN7-16,+3.3V,pwr,top
CN7-18,+5V,pwr,top
CN10-32,AGND,pwr_in,bottom
CN10-7,AVDD,pwr,top
CN7-7,BOOT0,in,left
CN7-6,E5V,pwr,left
CN7-8,GND,pwr_in,bottom
CN7-19,GND,pwr_in,bottom
CN7-20,GND,pwr_in,bottom
CN7-22,GND,pwr_in,bottom
CN10-9,GND,pwr_in,bottom
CN10-20,GND,pwr_in,bottom
CN7-9,NC,nc,left
CN7-10,NC,nc,left
CN7-11,NC,nc,left
CN7-26,NC,nc,left
CN10-10,NC,nc,right
CN10-36,NC,nc,right
CN10-38,NC,nc,right
CN7-28,PA0,bi,left
CN7-30,PA1,bi,left
CN10-33,PA10,bi,left
CN10-14,PA11,bi,left
CN10-12,PA12,bi,left
CN7-13,PA13,bi,left
CN7-15,PA14,bi,left
CN7-17,PA15,bi,left
CN10-35,PA2,bi,left
CN10-37,PA3,bi,left
CN7-32,PA4,bi,left
CN10-11,PA5,bi,left
CN10-13,PA6,bi,left
CN10-15,PA7,bi,left
CN10-23,PA8,bi,left
CN10-21,PA9,bi,left
CN7-34,PB0,bi,left
CN10-24,PB1,bi,left
CN10-25,PB10,bi,left
CN10-18,PB11,bi,left
CN10-16,PB12,bi,left
CN10-30,PB13,bi,left
CN10-28,PB14,bi,left
CN10-26,PB15,bi,left
CN10-22,PB2,bi,left
CN10-31,PB3,bi,left
CN10-27,PB4,bi,left
CN10-29,PB5,bi,left
CN10-17,PB6,bi,left
CN7-21,PB7,bi,left
CN10-3,PB8,bi,left
CN10-5,PB9,bi,left
CN7-38,PC0,bi,right
CN7-36,PC1,bi,right
CN7-1,PC10,bi,right
CN7-2,PC11,bi,right
CN7-3,PC12,bi,right
CN7-23,PC13,bi,right
CN7-25,PC14,bi,right
CN7-27,PC15,bi,right
CN7-35,PC2,bi,right
CN7-37,PC3,bi,right
CN10-34,PC4,bi,right
CN10-6,PC5,bi,right
CN10-4,PC6,bi,right
CN10-19,PC7,bi,right
CN10-2,PC8,bi,right
CN10-1,PC9,bi,right
CN7-4,PD2,bi,right
CN7-29,PH0,bi,right
CN7-31,PH1,bi,right
CN7-14,RESET,bi,left
CN10-8,U5V,pwr,top
CN7-33,VBAT,pwr_in,left
CN7-5,VDD,pwr,top
CN7-24,VIN,pwr_in,top
