uLCD-24PTU,,,
Pin,Name,Type,Side
H1-1,IO1,bi,right
H1-2,SPK-,out,right
H1-3,IO2,bi,right
H1-4,SPK+,out,right
H1-5,IO3,bi,right
H1-6,SCL,out,right
H1-7,IO4,bi,right
H1-8,SDA,bi,right
H1-9,IO5,bi,right
H1-10,GND,pwr_in,right
H1-11,GND,pwr_in,right
H1-12,+5V,pwr,right
H1-13,BUS7,bi,right
H1-14,AUDIO,bi,right
H1-15,BUS6,bi,right
H1-16,AUDENB,in,right
H1-17,BUS5,bi,right
H1-18,RES,in,right
H1-19,BUS4,bi,right
H1-20,3.3Vout,pwr_out,right
H1-21,BUS3,bi,right
H1-22,RX0,in,right
H1-23,BUS2,bi,right
H1-24,TX0,out,right
H1-25,BUS1,bi,right
H1-26,TX1,out,right
H1-27,BUS0,bi,right
H1-28,RX1,in,right
H2-1,+5V,pwr_in,left
H2-2,+5V,pwr_in,left
H2-3,TX,out,left
H2-4,TX,out,left
H2-5,RX,in,left
H2-6,RX,in,left
H2-7,GND,pwr_in,left
H2-8,GND,pwr_in,left
H2-9,RES,in,left
H2-10,RES,in,left
P1-1,+,pwr_in,left
P1-2,+,pwr_in,left
P1-5,-,pwr_in,left
P1-6,-,pwr_in,left
